,Kristen,,,,,Jinha,,,,,J,,,,,Rachel,,,,,Yini,,,,
Number,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_IdeoLoby,How,ObAmAcAre_Att,How,Relevant,User_Ideoloby,How,ObamaCare_Att,How
274,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
275,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
276,,,,,,,,,,,Y,U,,N,,Y,U,,A,text,Y,U,bio,A,text
277,,,,,,,,,,,Y,C,bio,N,,Y,C,bio,A,text,Y,C,bio,A,text
278,,,,,,,,,,,Y,L,bio,N,,Y,L,bio,N,text,Y,L,bio,N,text
279,,,,,,,,,,,Y,C,bio,N,,Y,C,bio,A,text,Y,C,bio,A,text
280,,,,,,,,,,,Y,U,,P,,Y,U,,P,text,Y,U,bio,P,text
281,,,,,,,,,,,Y,U,,U,,N,,,,,N,,,,
282,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
283,,,,,,,,,,,Y,U,,P,,Y,U,,P,text,Y,U,bio,P,text
284,,,,,,,,,,,Y,U,,A,,Y,C,bio,A,text,Y,C,bio,A,text
285,,,,,,,,,,,Y,C,,A,,N,,,,,Y,C,text,A,text
286,,,,,,,,,,,Y,U,,U,,Y,U,,A,text,Y,U,bio,A,text
287,,,,,,,,,,,Y,C,bio,A,hashtag,Y,C,bio,A,text,Y,C,bio,A,text
288,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,P,text
289,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
290,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,P,text
291,,,,,,,,,,,Y,U,,P,,Y,C,bio,A,text,Y,C,bio,U,text
292,,,,,,,,,,,Y,C,bio,P,,Y,C,bio,A,text,N,,,,
293,,,,,,,,,,,Y,L,,P,,Y,L,text,P,text,Y,L,text,P,text
294,,,,,,,,,,,Y,C,,A,text,Y,C,bio,A,text,Y,C,bio,A,text
295,,,,,,,,,,,Y,U,,A,text,Y,U,,A,text,Y,C,bio,A,text
296,,,,,,,,,,,Y,C,bio,N,text,Y,C,bio,A,link,Y,C,bio,A,text
297,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,text,Y,C,bio,A,text
298,,,,,,,,,,,Y,N,bio,N,text,N,,,,,N,,,,
299,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,link,Y,C,bio,A,text
300,,,,,,,,,,,Y,C,bio,A,text,Y,C,bio,A,link,Y,U,bio,P,text
